,upc_clean,promo_period,Item_Description,Promo_Start_Week,Promo_End_Week,Promo_Weeks,Regular_Price,Special_Price,Unit_Cost,Baseline_Units,Promo_Units,Baseline_Revenue,Promo_Revenue,Incremental_Revenue,Promo_Spend,ROI,Lift,Breakeven_Lift
1638,3600031803,8_9,HUGGIES BW NAT CARE BW SOFT PACK 8/56ct,8,9,2,3.9900000000000007,2.5,2.005,0.0,0.0,0.0,0.0,0.0,0.0,,,
1639,3600031890,10_11,HUGGIES BW NATURAL CARE 3/168ct,10,11,2,7.99,5.98,5.58,0.0,0.0,0.0,0.0,0.0,0.0,,,
1640,3600031890,5,HUGGIES BW NATURAL CARE 3/168ct,5,5,1,7.99,6.98,5.58,0.0,0.0,0.0,0.0,0.0,0.0,,,
1641,3600031890,6_7,HUGGIES BW NATURAL CARE 3/168ct,6,7,2,7.99,5.98,5.58,0.0,0.0,0.0,0.0,0.0,0.0,,,
1642,360003359,10_11,POISE LONG PADS MAXIMUM ABSORBENCY 2/39ea,10,11,2,19.99,14.48,13.74,0.0,0.0,0.0,0.0,0.0,0.0,,,
1643,360003359,12_13,POISE LONG PADS MAXIMUM ABSORBENCY 2/39ea,12,13,2,19.99,14.98,13.74,0.0,0.0,0.0,0.0,0.0,0.0,,,
1644,360003359,6_7,POISE LONG PADS MAXIMUM ABSORBENCY 2/39ea,6,7,2,19.99,14.48,13.74,0.0,0.0,0.0,0.0,0.0,0.0,,,
1645,3600033592,10_11,POISE PADS REG ULTIMATE ABSORBENCY 4/33ea,10,11,2,19.99,14.48,13.6025,0.0,0.0,0.0,0.0,0.0,0.0,,,
1646,3600033592,12_13,POISE PADS REG ULTIMATE ABSORBENCY 4/33ea,12,13,2,19.99,14.98,13.6025,0.0,0.0,0.0,0.0,0.0,0.0,,,
1647,3600033592,6_7,POISE PADS REG ULTIMATE ABSORBENCY 4/33ea,6,7,2,19.99,14.48,13.6025,0.0,0.0,0.0,0.0,0.0,0.0,,,
1648,3600038531,10_11,DEPEND FIT FLEX MAXIMUM WOMEN LARGE 2/17ct,10,11,2,19.99,13.98,11.88,0.0,0.0,0.0,0.0,0.0,0.0,,,
1649,3600038531,12_13,DEPEND FIT FLEX MAXIMUM WOMEN LARGE 2/17ct,12,13,2,19.99,13.98,11.95,0.0,0.0,0.0,0.0,0.0,0.0,,,
1650,3600038532,10_11,DEPEND FIT FLEX MAXIMUM WMN X LARGE 2/15ct,10,11,2,19.99,13.98,11.88,0.0,0.0,0.0,0.0,0.0,0.0,,,
1651,3600038532,12_13,DEPEND FIT FLEX MAXIMUM WMN X LARGE 2/15ct,12,13,2,19.99,13.98,11.95,0.0,0.0,0.0,0.0,0.0,0.0,,,
